aalib 1.4rc5-11
xorg-xkbcomp 1.3.1-1
xorg-xrandr-git 1.5.0-1
xorg-xrdb 1.1.0-1
xorg-xset 1.2.3-1
xproto 7.0.28-1
xvidcore 1.3.4-1
xz 5.2.2-1
yajl 2.1.0-1
yaourt-git 20151124_1302-1
yelp 3.18.1-1
yelp-xsl 3.18.1-1
zeitgeist 0.9.15-2
zenity 3.18.1.1-1
zeromq 4.1.3-2
zita-alsa-pcmi 0.2.0-2
zita-resampler 1.3.0-3
zlib 1.2.8-4
zsh 5.1.1-2
zziplib 0.13.62-2
